group,n_after_binning,signal,noise,snr,noise_signal_ratio,snr_reason,removed_source,source_reason,n_removed_points,n_final,outlier_fraction,max_abs_local_z
"source_id=1290471096436583424, lensComponentSourceId=1290471096436583489",55,9.20097961425779,11.07755708694458,0.8305964520915514,1.2039540952551244,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,53,0.03636363636363636,14.03749184666339
"source_id=1290471096436583424, lensComponentSourceId=1290471096436583491",19,10.029079055786127,4.603208541870117,2.1787149038682645,0.45898616575510637,ok,True,less_than_20_points_after_cleaning,0,0,0.0,2.8225216717160113
"source_id=1349383651008404096, lensComponentSourceId=1349383651008404161",48,22.739739990234284,20.85809326171875,1.090211828325121,0.9172529356393865,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,46,0.041666666666666664,9.45326712776729
"source_id=1349383651008404096, lensComponentSourceId=1349383651008404163",46,20.232150077819824,6.386189937591553,3.16810966719384,0.31564563889789593,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,45,0.021739130434782608,4.767497538231606
"source_id=1374812026358285952, lensComponentSourceId=1374812026358286017",57,76.570556640625,39.355520248413086,1.9456115979997117,0.51397719926634,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,55,0.03508771929824561,30.89140640400748
"source_id=1374812026358285952, lensComponentSourceId=1374812026358286019",55,16.15486683724197,5.937676906585693,2.7207386140064336,0.3675472516367334,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,4,51,0.07272727272727272,23.99904778850274
"source_id=1374812026358285952, lensComponentSourceId=1374812026358286021",52,7.592236328125011,5.439885973930359,1.3956609319587563,0.7165064071805309,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,51,0.019230769230769232,20.53696754084178
"source_id=1404629574817908352, lensComponentSourceId=1404629574817908417",24,19.578169250488372,12.961830139160156,1.5104479105415056,0.6620552705068083,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,23,0.041666666666666664,5.456585921410723
"source_id=1404629574817908352, lensComponentSourceId=1404629574817908419",48,32.51827487945556,6.213160872459412,5.23377320287919,0.19106674310034727,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,47,0.020833333333333332,5.817740109038865
"source_id=1607493627670775424, lensComponentSourceId=1607493627670775489",51,10.326217651367188,7.636224031448364,1.3522675092873895,0.7394986518066788,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,50,0.0196078431372549,5.102146787217727
"source_id=1607493627670775424, lensComponentSourceId=1607493627670775491",48,14.445262145996082,6.399785399436951,2.2571478955008346,0.44303698574351136,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,1,47,0.020833333333333332,5.991659712074478
"source_id=1654178311566482048, lensComponentSourceId=1654178311566482113",26,62.765380859375,80.1789779663086,0.7828159257124625,1.2774395195011805,ok,True,bad_snr_low (snr=0.783 < min_snr=0.800),0,0,,
"source_id=1654178311566482048, lensComponentSourceId=1654178311566482115",30,30.004260826110837,5.301641941070557,5.659427996009119,0.1766963022950683,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,30,0.0,2.825338354936705
"source_id=1659540453680688256, lensComponentSourceId=1659540453680688321",54,12.494442749023392,9.506559371948242,1.3142970301002626,0.7608630142941994,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,52,0.037037037037037035,5.114734372486108
"source_id=1659540453680688256, lensComponentSourceId=1659540453680688323",54,46.02147197723386,7.204639911651611,6.387754633344857,0.15654953225345855,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,54,0.0,2.7591700585855627
"source_id=1686584114691786368, lensComponentSourceId=1686584114691786433",52,40.988134765625546,35.40156364440918,1.1578057731384594,0.8637027238940985,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,0,52,0.0,3.9260931051339347
"source_id=1686584114691786368, lensComponentSourceId=1686584114691786435",52,15.198603820800713,9.44753098487854,1.6087381819786761,0.6216051879679045,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,3,49,0.057692307692307696,8.525789232682214
"source_id=1760679413013474304, lensComponentSourceId=1760679413013474369",32,6.4122150022407,5.842242240905762,1.0975606176245392,0.9111114082831338,ok,False,kept_after_adaptive_rolling_hybrid_cleaning,2,30,0.0625,5.257819930235675
