source_id,lensComponentSourceId,_source_rank,epoch_obs_jd,flux_obs,flux_obs_error,n_points_in_bin,pre_bin_index,pre_bin_start_day,pre_bin_end_day,isFluxCalibrated,_pre_keep,_pre_removed_reason,pre_rolling_median,pre_rolling_sigma_hybrid,pre_n_neighbors_used,pre_local_z
2054505233904010880,2054505233904010945,67,2458635.82197988,298.1950988769531,15.788373947143556,1,410,2458632.103117341,2458636.103117341,True,True,adaptive_rolling_hybrid_outlier,207.23886489868164,13.546187666849029,10,6.714526346099911
2054505233904010880,2054505233904010947,68,2458372.252750771,331.272216796875,7.632000923156738,1,338,2458370.6736197453,2458374.6736197453,True,True,adaptive_rolling_hybrid_outlier,317.6400375366211,2.7574579793212215,10,4.943748685377834
2126077874598020352,2126077874598020417,73,2456963.9137039725,8316.3994140625,39.86098098754883,2,0,2456963.8767005284,2456967.8767005284,True,True,adaptive_rolling_hybrid_outlier,4911.822998046875,22.893886022749044,10,148.71116299926487
2126077874598020352,2126077874598020417,73,2457242.7863798128,6365.76806640625,244.7474670410156,2,69,2457239.8767005284,2457243.8767005284,True,True,adaptive_rolling_hybrid_outlier,4918.4482421875,16.024330636190705,10,90.32014235589975
2126077874598020352,2126077874598020417,73,2457283.4886234375,4619.664306640625,98.8084945678711,2,79,2457279.8767005284,2457283.8767005284,True,True,adaptive_rolling_hybrid_outlier,4927.3887939453125,12.99453523408075,10,-23.68106913878835
2126077874598020352,2126077874598020417,73,2457819.242833853,4235.8125,130.7994842529297,1,213,2457815.8767005284,2457819.8767005284,True,True,adaptive_rolling_hybrid_outlier,4932.1571044921875,14.20559981022496,10,-49.01902163898563
2126077874598020352,2126077874598020417,73,2458063.7502219845,5013.926025390625,76.24932193756104,2,274,2458059.8767005284,2458063.8767005284,True,True,adaptive_rolling_hybrid_outlier,4935.88134765625,13.567351174457102,10,5.752388711018823
2126077874598020352,2126077874598020417,73,2458196.7022504834,4784.28125,50.60013484954834,2,308,2458195.8767005284,2458199.8767005284,True,True,adaptive_rolling_hybrid_outlier,4931.8076171875,14.632755348075406,10,-10.08192672386227
2126077874598020352,2126077874598020417,73,2458228.6002499824,6252.9013671875,168.2133026123047,1,316,2458227.8767005284,2458231.8767005284,True,True,adaptive_rolling_hybrid_outlier,4924.01416015625,25.338190740960115,10,52.44601797408743
2126077874598020352,2126077874598020417,73,2458295.514930483,4697.112548828125,70.14987564086914,2,332,2458291.8767005284,2458295.8767005284,True,True,adaptive_rolling_hybrid_outlier,4927.080810546875,25.443055444164827,10,-9.038547364070281
2126077874598020352,2126077874598020417,73,2458413.466480437,6402.34619140625,113.42534637451172,1,362,2458411.8767005284,2458415.8767005284,True,True,adaptive_rolling_hybrid_outlier,4897.8436279296875,59.34433758552983,10,25.35208285555809
2126077874598020352,2126077874598020417,73,2458511.1780821346,8364.236328125,44.45350646972656,1,386,2458507.8767005284,2458511.8767005284,True,True,adaptive_rolling_hybrid_outlier,4881.877147594561,43.07642805658297,10,80.8414099691876
2126077874598020352,2126077874598020417,73,2458607.6053816294,8564.24806427933,24.63591405651696,2,410,2458603.8767005284,2458607.8767005284,,True,adaptive_rolling_hybrid_outlier,4899.1671142578125,55.63333739003882,10,65.87922137990869
2126077874598020352,2126077874598020417,73,2458696.4010560997,8289.37451171875,55.88664627075195,2,433,2458695.8767005284,2458699.8767005284,True,True,adaptive_rolling_hybrid_outlier,4913.722412109375,69.66693434469406,10,48.45415018418232
2126077874598020352,2126077874598020417,73,2458794.528296102,8172.30078125,41.94150924682617,1,457,2458791.8767005284,2458795.8767005284,True,True,adaptive_rolling_hybrid_outlier,4913.722412109375,69.66693434469406,10,46.77367247162073
2126077874598020352,2126077874598020419,74,2457374.1943525723,4270.3677596831485,38.68914824234251,2,94,2457371.11279459,2457375.11279459,False,True,adaptive_rolling_hybrid_outlier,3542.361083984375,70.34534480847566,10,10.349038414423388
2126077874598020352,2126077874598020419,74,2457538.839416918,3005.931396484375,51.27691650390625,1,135,2457535.11279459,2457539.11279459,True,True,adaptive_rolling_hybrid_outlier,3550.567626953125,70.27888953278786,10,-7.74964194923222
2126077874598020352,2126077874598020419,74,2458228.6002500053,7042.003660047434,46.33474953406049,1,308,2458227.11279459,2458231.11279459,False,True,adaptive_rolling_hybrid_outlier,3538.3309326171875,139.96222576635788,10,25.03298806693034
2126077874598020352,2126077874598020419,74,2458314.553302744,4408.67578125,63.6556282043457,1,329,2458311.11279459,2458315.11279459,True,True,adaptive_rolling_hybrid_outlier,3538.3309326171875,139.96222576635788,10,6.218426749555261
2126077874598020352,2126077874598020419,74,2458696.4010560997,8373.62649586985,47.399959823227064,2,425,2458695.11279459,2458699.11279459,False,True,adaptive_rolling_hybrid_outlier,3538.3309326171875,139.96222576635788,10,34.54714682320308
2143756097424677504,2143756097424677571,75,2457782.2395157474,166.7279510498047,6.924214124679565,2,204,2457780.706031532,2457784.706031532,True,True,adaptive_rolling_hybrid_outlier,156.4400634765625,2.3359071547847288,10,4.404236509216178
2147590992118122112,2147590992118122177,78,2457091.9029712104,673.4725952148438,12.847102165222168,1,23,2457088.446726311,2457092.446726311,True,True,adaptive_rolling_hybrid_outlier,695.1905822753906,5.175142608004156,10,-4.196596829420055
2147590992118122112,2147590992118122177,78,2457848.72352503,686.0923461914062,8.72573184967041,1,213,2457848.446726311,2457852.446726311,True,True,adaptive_rolling_hybrid_outlier,698.2267150878906,2.5534052546524775,10,-4.752229938578975
