componentID,SourceID,RFprob_real,RFpred_real,EDSMprob_real,EDSMpred_real,RFprob_synth,RFpred_synth,EDSMprob_synth,EDSMpred_synth,final_pred_real,final_pred_synth,final_pred
3783971985706909251,3783971985706909184,,False,,False,,False,,False,False,False,False
3800591481917387457,3800591481917387392,0.556,False,0.3840697109699249,False,0.948,True,0.5178123712539673,True,False,True,True
3800591481917387459,3800591481917387392,,False,,False,,False,,False,False,False,False
3800591481917387461,3800591481917387392,,False,,False,,False,,False,False,False,False
3800591481917387463,3800591481917387392,,False,,False,,False,,False,False,False,False
3806936797880396481,3806936797880396416,0.998,True,0.9981667995452881,True,0.986,True,0.6207824349403381,True,True,True,True
3806936797880396483,3806936797880396416,,False,,False,,False,,False,False,False,False
3807267368628379073,3807267368628379008,,False,,False,,False,,False,False,False,False
3817878828362669633,3817878828362669568,0.528,False,0.9892054796218872,True,0.834,True,0.23389868438243866,False,True,True,True
3817878828362669635,3817878828362669568,,False,,False,,False,,False,False,False,False
3817878828362669637,3817878828362669568,1.0,True,0.9806901812553406,True,0.942,True,0.8298261761665344,True,True,True,True
3817878828362669639,3817878828362669568,0.978,True,0.7995801568031311,True,1.0,True,0.546200692653656,True,True,True,True
3828696197422634177,3828696197422634112,0.946,True,0.9995404481887817,True,0.998,True,0.8727425932884216,True,True,True,True
3828696197422634181,3828696197422634112,0.996,True,0.7278565764427185,True,0.892,True,0.8306450843811035,True,True,True,True
3832692033126977729,3832692033126977664,0.994,True,0.9611917734146118,True,0.998,True,0.8135643005371094,True,True,True,True
3832692033126977731,3832692033126977664,,False,,False,,False,,False,False,False,False
3834882054131088577,3834882054131088512,,False,,False,,False,,False,False,False,False
3834882054131088579,3834882054131088512,,False,,False,,False,,False,False,False,False
3836060833675603905,3836060833675603840,0.992,True,0.9995540976524353,True,0.994,True,0.5266516208648682,True,True,True,True
3838418972584438081,3838418972584438016,0.614,False,0.9642301797866821,True,0.884,True,0.8309362530708313,True,True,True,True
3842934499335828673,3842934499335828608,1.0,True,0.9965144991874695,True,1.0,True,0.5621094703674316,True,True,True,True
3842934499335828675,3842934499335828608,,False,,False,,False,,False,False,False,False
3842934499335828677,3842934499335828608,,False,,False,,False,,False,False,False,False
3844748070752040641,3844748070752040576,0.958,True,0.9909640550613403,True,0.998,True,0.9867023825645447,True,True,True,True
3844748070752040643,3844748070752040576,1.0,True,0.9759311079978943,True,0.996,True,0.9871683120727539,True,True,True,True
3851608129957910465,3851608129957910400,0.392,False,0.9913346171379089,True,0.878,True,0.600867748260498,True,True,True,True
3851608129957910467,3851608129957910400,1.0,True,0.9988492727279663,True,0.976,True,0.5932561159133911,True,True,True,True
3862737562746165057,3862737562746164992,,False,,False,,False,,False,False,False,False
3862931828412982977,3862931828412982912,1.0,True,0.9998642206192017,True,0.98,True,0.8747327327728271,True,True,True,True
3862931828412982979,3862931828412982912,1.0,True,0.9895490407943726,True,0.996,True,0.8830438852310181,True,True,True,True
3862931828412982981,3862931828412982912,,False,,False,,False,,False,False,False,False
3874291746326640193,3874291746326640128,1.0,True,0.9950077533721924,True,0.988,True,0.5754167437553406,True,True,True,True
3874291746326640195,3874291746326640128,,False,,False,,False,,False,False,False,False
3874291746326640197,3874291746326640128,,False,,False,,False,,False,False,False,False
3876832198007366977,3876832198007366912,0.974,True,0.9891424179077148,True,0.934,True,0.5719505548477173,True,True,True,True
3876832198007366979,3876832198007366912,,False,,False,,False,,False,False,False,False
3886584144590895041,3886584144590894976,,False,,False,,False,,False,False,False,False
3898742441091558081,3898742441091558016,1.0,True,0.9140520691871643,True,1.0,True,0.6283043622970581,True,True,True,True
3898742441091558083,3898742441091558016,,False,,False,,False,,False,False,False,False
3906330450007849793,3906330450007849728,0.12,False,0.9311225414276123,True,0.482,False,0.7584348917007446,True,True,True,True
3906330450007849795,3906330450007849728,,False,,False,,False,,False,False,False,False
3937637737940083393,3937637737940083328,0.952,True,0.9874773025512695,True,0.996,True,0.5258801579475403,True,True,True,True
3937637737940083395,3937637737940083328,0.912,True,0.9981510043144226,True,0.992,True,0.6790618300437927,True,True,True,True
