source_id,comp_A_reference,comp_B,sample,valid,cost,loo_score,bic_like,K,df_eff,n_overlap,error,delay_A reference,delay_B,pair_delay_B_minus_A reference
6680426255713853824,6680426255713853891,6680426255713853893,99,True,0.07641764959683225,0.07641764959683225,0.9169171557361226,11,11.940477254886648,56,,0.0,152.04808087719925,152.04808087719925
6680426255713853824,6680426255713853891,6680426255713853893,100,True,0.07864843886856884,0.07864843886856884,0.906347387693313,11,12.235243347500298,59,,0.0,82.4235363658916,82.4235363658916
6680426255713853824,6680426255713853891,6680426255713853893,101,True,0.21590816442235833,0.21590816442235833,1.0119317954527753,11,11.330325655325344,52,,0.0,207.69030714165905,207.69030714165905
6680426255713853824,6680426255713853891,6680426255713853893,102,True,0.10185052983789256,0.10185052983789256,0.9374784987496727,11,12.402401210255938,58,,0.0,88.1842012760354,88.1842012760354
6680426255713853824,6680426255713853891,6680426255713853893,103,True,0.10689697689958534,0.10689697689958534,0.8987278105073923,11,12.319882070638887,62,,0.0,12.348849623849317,12.348849623849317
6680426255713853824,6680426255713853891,6680426255713853893,104,True,0.09733657139515849,0.09733657139515849,0.9153394926262458,11,12.047366383590454,58,,0.0,83.7863828913901,83.7863828913901
6680426255713853824,6680426255713853891,6680426255713853893,105,True,0.13018544239108024,0.13018544239108024,0.9391102169026176,11,12.113136836155109,58,,0.0,88.17700710511868,88.17700710511868
6680426255713853824,6680426255713853891,6680426255713853893,106,True,0.12028324231058138,0.12028324231058138,0.9431170843800941,11,11.820024683286476,55,,0.0,-119.89341894741902,-119.89341894741902
6680426255713853824,6680426255713853891,6680426255713853893,107,True,0.10154504802622492,0.10154504802622492,0.8430253476751423,11,11.299538175741372,60,,0.0,-36.10723239308689,-36.10723239308689
6680426255713853824,6680426255713853891,6680426255713853893,108,True,0.1591364945312121,0.1591364945312121,0.966278839210418,11,12.29604677995384,59,,0.0,76.21213988711995,76.21213988711995
6680426255713853824,6680426255713853891,6680426255713853893,109,True,0.09943401812919853,0.09943401812919853,0.8464641530113438,11,11.628131638324348,62,,0.0,-12.368525275913756,-12.368525275913756
6680426255713853824,6680426255713853891,6680426255713853893,110,True,0.09231784896194406,0.09231784896194406,0.9031878137849366,11,12.103802787906245,59,,0.0,75.30039704247574,75.30039704247574
6680426255713853824,6680426255713853891,6680426255713853893,111,True,0.12419977848640207,0.12419977848640207,0.9550983628252432,11,11.737983633316327,53,,0.0,194.3007048693563,194.3007048693563
6680426255713853824,6680426255713853891,6680426255713853893,112,True,0.09839784502989707,0.09839784502989707,0.8449581187812447,11,11.682089461841876,62,,0.0,-12.348849623849375,-12.348849623849375
6680426255713853824,6680426255713853891,6680426255713853893,113,True,0.10400093477020875,0.10400093477020875,0.930130633619663,11,11.830300463837215,56,,0.0,147.88913295748827,147.88913295748827
