source_id,comp_A_reference,comp_B,base_delay_B_minus_A,comp_i,comp_i_id,comp_j,comp_j_id,delay_definition,n_valid,mean,median,std,q02_5,q16,q84,q97_5,err_minus_16_84,err_plus_16_84,err_minus_95,err_plus_95
1475457506834977280,1475457506834977345,1475457506834977347,2.839859445026589,A reference,1475457506834977345,B,1475457506834977347,delay(B) - delay(A reference),300,8.372796158606574,10.698223242017939,20.28340925261737,-36.090310698748276,-14.581509948412737,30.291258638562997,40.859202830431606,25.279733190430676,19.59303539654506,46.788533940766214,30.160979588413667
1469230594530741760,1469230594530741825,1469230594530741827,26.315789473684163,A reference,1469230594530741825,B,1469230594530741827,delay(B) - delay(A reference),300,-19.768982850826717,-21.691408763403906,58.366914314075224,-131.06697082728695,-76.27440795759905,30.64324915049799,76.34402577680842,54.582999194195146,52.33465791390189,109.37556206388305,98.03543454021232
3711531005707407104,3711531005707407169,3711531005707407171,19.75046418976531,A reference,3711531005707407169,B,3711531005707407171,delay(B) - delay(A reference),300,44.098555738165466,46.36591478696744,39.19272567659798,-26.300222456064464,-0.2371381040821666,82.37067954868304,118.7263779634645,46.6030528910496,36.004764761715606,72.6661372430319,72.36046317649706
3728132222538228864,3728132222538228929,3728132222538228931,500.0,A reference,3728132222538228929,B,3728132222538228931,delay(B) - delay(A reference),300,332.36357547841396,481.64147448631667,291.22291241380685,-304.1737799624578,-228.9465422139834,500.0,500.0,710.5880167003,18.358525513683333,785.8152544487745,18.358525513683333
1618050348048027648,1618050348048027715,1618050348048027717,33.83458646616543,A reference,1618050348048027715,B,1618050348048027717,delay(B) - delay(A reference),300,23.946937913031555,28.822055137844586,24.056188819371293,-33.57997727538534,-0.1009687344886933,40.37152349193083,63.93791164654774,28.923023872333278,11.549468354086244,62.402032413229925,35.11585650870315
1618050348048027648,1618050348048027713,1618050348048027715,-27.59983946096421,A reference,1618050348048027713,B,1618050348048027715,delay(B) - delay(A reference),300,-18.813224813158783,-21.228749538938814,24.28950051917782,-68.57952720236472,-36.34085213032586,0.18250098971832154,33.591592478286636,15.112102591387043,21.411250528657135,47.3507776634259,54.82034201722545
1489600073930470912,1489600073930470977,1489600073930470979,31.32832080200501,A reference,1489600073930470977,B,1489600073930470979,delay(B) - delay(A reference),300,24.58455154567461,26.47990944017237,36.807560312247794,-39.47395985142144,-14.529509198233244,57.61576749098059,106.63423136465936,41.00941863840561,31.135858050808217,65.9538692915938,80.154321924487
1185445780111141248,1185445780111141313,1185445780111141315,31.04898200500831,A reference,1185445780111141313,B,1185445780111141315,delay(B) - delay(A reference),300,41.52190590179118,31.739545488690176,65.07769788690247,-55.011819356376556,-10.058110517860511,101.01102474934702,202.20751568773622,41.79765600655069,69.27147926065683,86.75136484506673,170.46797019904605
1183277886779443840,1183277886779443905,1183277886779443907,223.51361528770923,A reference,1183277886779443905,B,1183277886779443907,delay(B) - delay(A reference),300,208.46624107970317,203.006202321177,28.41419054138751,147.43161808138842,191.72932330827064,231.8140069172173,277.6281023360651,11.276879012906363,28.807804596040313,55.57458423978858,74.62190001488813
5077935264216200832,5077935264216200897,5077935264216200899,477.4436090225563,A reference,5077935264216200897,B,5077935264216200899,delay(B) - delay(A reference),300,192.80270643943203,169.53378109028776,94.21774352638144,91.8119833507953,117.51805557420147,268.70324329820784,467.2518515666215,52.01572551608629,99.16946220792008,77.72179773949246,297.71807047633376
