source_id,comp_A_reference,comp_B,delay_B_minus_A,cost,loo_score,loo_score_raw,bic_like,K,df_eff,hat_diag_max,lambda_base,lambda_median,n_overlap,span_frac,min_frac_comp,forced_to_min_plotted_LOO
827031141513223936,827031141513224001,827031141513224003,42.00913803272375,0.1830364367880703,0.1830364367880703,1.015108581957749,0.8380794088774742,11,12.83351750501005,0.9088046420331838,0.0503250734906492,0.0503250734906492,85,0.9781487183554198,0.9545454545454546,True
3992914344995211136,3992914344995211201,3992914344995211203,-30.713000503038224,0.1719234185803512,0.1719234185803512,1.288152016141998,0.837728603286481,7,9.581734677882114,0.750766493117162,0.05,0.05,58,1.0,0.9333333333333333,True
1537658249711963904,1537658249711963969,1537658249711963971,-147.80762299502436,0.038723688314513456,0.038723688314513456,2.0719069506937577,0.502945912852897,5,8.198031416034626,0.6313811729841897,0.05,0.05,76,0.9217838431242427,0.8809523809523809,True
1475457506834977280,1475457506834977345,1475457506834977347,2.839859445026589,0.04172875865713581,0.04172875865713581,1.0063527174938371,0.5481776537934792,8,10.632674435922496,0.4320331085792752,0.05,0.05,97,0.9986204558620311,0.9795918367346939,True
1469230594530741760,1469230594530741825,1469230594530741827,26.315789473684163,0.08796306204121546,0.08796306204121546,0.6588335868891279,0.6641606308908812,7,10.046334195039694,0.8217610169194224,0.05,0.05,74,0.986595663882153,0.9230769230769231,True
3711531005707407104,3711531005707407169,3711531005707407171,19.75046418976531,0.037346846503820315,0.037346846503820315,0.9182482416877852,0.5346667026336026,5,8.205444617866219,0.8836982476375626,0.05,0.05,69,0.9899647947937632,0.9714285714285714,True
3728132222538228864,3728132222538228929,3728132222538228931,500.0,0.11862573069308395,0.11862573069308395,0.6384004737257722,0.7489438254869044,5,7.861007778456711,0.6174250575648573,0.05299130592560491,0.05299130592560491,47,0.7458192444676275,0.7096774193548387,True
1618050348048027648,1618050348048027715,1618050348048027717,33.83458646616543,0.1230916488511491,0.1230916488511491,0.5662440212094139,0.7910419708992332,14,14.288479691153787,0.8823794373097268,0.06861986788291809,0.0686198678829181,95,0.9829275121592462,0.9591836734693877,True
1618050348048027648,1618050348048027713,1618050348048027715,-27.59983946096421,0.17902813126647915,0.17902813126647915,0.6765751466688865,0.8238047597295952,14,14.35800477301439,0.5701767696384908,0.0766248523289385,0.0766248523289385,99,1.0,0.9591836734693877,True
1489600073930470912,1489600073930470977,1489600073930470979,31.32832080200501,0.12260621216853348,0.12260621216853348,0.81203995306684,0.8892681125791183,19,18.242376378563975,0.6681320060758873,0.059502491097418966,0.059502491097418966,110,1.0,0.9482758620689655,True
1185445780111141248,1185445780111141313,1185445780111141315,31.04898200500831,0.07532892145128676,0.07532892145128676,0.6874263074256332,0.5966224662149291,5,8.410727644864691,0.7505357535452379,0.05,0.05,70,0.9832780909529302,0.9444444444444444,True
1183277886779443840,1183277886779443905,1183277886779443907,223.51361528770923,0.08324245824080075,0.08324245824080075,0.619632099619181,0.8860206982426304,12,12.787919753795805,0.8831697372948359,0.05,0.049999999999999996,67,0.8857833384221101,0.8461538461538461,True
5077935264216200832,5077935264216200897,5077935264216200899,477.4436090225563,0.0404351025497934,0.0404351025497934,1.133382406153532,0.5834737079033127,5,8.050694983363673,0.8192851649363045,0.05,0.05,60,0.7214335989393851,0.6382978723404256,True
6680426255713853824,6680426255713853891,6680426255713853893,90.43875097228273,0.08098297750556123,0.08098297750556123,0.8002062471182889,0.9149797066229862,11,12.013432954213222,0.8486305149606711,0.05,0.05,57,0.952744999046818,0.875,True
